POINTID,SiteId,Lat,Long,FeatureTyp,Barrier,Reason,FishPass,LngCo,LngSD,LngCH,Lng_25Co,Lng_75Co,Lng_25CH,Lng_75CH,Lng_25SD,Lng_75SD,Lng_50Co,Lng_50CH,Lng_50SD
1260,604063,46.748027,-123.103069,Culvert,Yes,Slope,33,4009.44345,216.601751,0,6615.918502,1874.771167,0,0,1463.781863,0,4009.44345,0,216.601751
1279,604031,46.732784,-123.152089,Culvert,Yes,Slope,67,0,0,0,205.006077,0,0,0,0,0,0,0,0
1252,604065,46.751072,-123.153991,Culvert,Yes,Slope,33,2658.799919,0,0,4365.607708,0,0,0,0,0,2658.799919,0,0
1127,700215,46.837689,-123.24584,Culvert,Yes,Velocity,67,5497.65277,2665.068029,2665.068029,7023.949488,4283.687881,3073.652145,0,2665.068029,0,5497.65277,2665.068029,2665.068029
1327,132181280,46.7061268,-122.890445,Culvert,Yes,Slope,67,682.4211,0,0,1092.424818,0,0,0,0,0,682.4211,0,0
1196,132182220B,46.7894522,-122.7983221,Culvert,Yes,WS Drop,0,2152.535656,0,0,4298.71257,0,0,0,781.96456,0,2343.472581,0,0
1193,604078,46.785474,-123.149251,Culvert,Yes,WS Drop,33,1327.269851,0,0,1327.269851,0,0,0,0,0,1327.269851,0,0
1354,604095,46.696747,-122.917488,Culvert,Yes,Slope,0,0,0,0,412.91066,0,0,0,0,0,0,0,0
1403,604104,46.65662,-122.915596,Culvert,Yes,Depth,33,0,0,0,1856.955479,0,0,0,0,0,0,0,0
1133,934772,46.832104,-123.1922765,Culvert,Yes,WS Drop,67,414.1375,0,0,984.722834,0,0,0,0,0,414.1375,0,0
1117,934771,46.845679,-123.248409,Culvert,Yes,Slope,33,768.044948,0,0,1588.481316,0,0,0,0,0,768.044948,0,0
1317,132182277,46.7094068,-122.9023147,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,604113,46.698476,-122.948258,Culvert,Yes,Slope,33,0,0,0,929.256335,0,0,0,0,0,0,0,0
1322,604125,46.706718,-122.88858,Culvert,Yes,Slope,0,385.927706,0,0,964.819265,0,0,0,0,0,385.927706,0,0
1347,604129,46.699456,-122.923521,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,604164,46.863818,-122.827575,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,132182625A,46.8129872,-122.8566767,Culvert,Yes,Undersized,67,1843.543947,0,0,4640.140639,402.496693,0,0,808.11842,0,1843.543947,0,0
1150,132182625B,46.8181414,-122.8525294,Culvert,Yes,Slope,67,1237.455132,0,0,4034.051824,200.467088,0,0,202.029605,0,1237.455132,0,0
1072,604176,46.89152,-122.80643,Culvert,Yes,Depth,67,0,0,0,833.399147,0,0,0,0,0,0,0,0
1070,604177,46.89265,-122.80617,Culvert,Yes,Depth,33,0,0,0,833.399147,0,0,0,0,0,0,0,0
1066,604175,46.89386,-122.80687,Culvert,Yes,Depth,67,0,0,0,635.499877,0,0,0,0,0,0,0,0
1111,604153,46.858166,-122.86119,Culvert,Yes,Slope,33,15624.37786,6540.66828,2479.770145,30002.01321,7540.616167,5181.767689,0,11155.20762,4872.726811,15272.65213,2479.770145,6540.66828
1369,604230,46.6825114,-122.9965453,Dam,Yes,WS Drop,33,229.049328,0,0,571.544587,0,0,0,0,0,229.049328,0,0
1207,604240,46.776992,-123.007385,Culvert,Yes,Slope,67,2275.394906,0,0,5157.908521,793.148872,0,0,793.148872,0,2275.394906,0,0
1202,604241,46.779092,-123.009707,Culvert,Yes,Slope,67,2473.682124,0,0,5356.195739,991.43609,0,0,991.43609,0,2473.682124,0,0
1189,921279,46.79488,-122.86035,Culvert,Yes,WS Drop,67,0,0,0,0,0,0,0,0,0,0,0,0
1285,921291,46.729999,-122.932922,Culvert,Yes,Depth,33,0,0,0,336.618254,0,0,0,0,0,0,0,0
1440,921340,46.644079,-122.938357,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
1413,602508,46.6568,-122.68913,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
1195,1320424,46.79017785,-122.8005511,Culvert,Yes,Velocity,33,2511.334605,0,0,4820.819328,358.798949,0,0,977.4557,0,2702.27153,0,0
1102,605313,46.83722,-124.077531,Culvert,Yes,Tidegate,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,605315,46.839888,-124.071483,Culvert,Yes,Tidegate,0,0,0,0,214.517809,0,0,0,0,0,0,0,0
1404,602451,46.65662,-122.90273,Culvert,Yes,WS Drop,0,0,0,0,389.267292,0,0,0,0,0,0,0,0
1394,602472,46.66176,-122.89904,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
1326,021(17151)(05946),46.706733,-122.850782,Culvert,Yes,WS Drop,0,1829.843499,0,0,3063.699757,0,0,0,0,0,1829.843499,0,0
1299,Co081C1,46.728208,-122.720461,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,Co103C1,46.913271,-123.390296,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,Co107C1,46.633994,-123.379888,Culvert,Yes, ,0,0,0,0,602.23734,0,0,0,0,0,0,0,0
